text,sentiment,urgency,confusion
I got 0 marks for lack of uppercase letters or punctuation in quiz 3. How can I correct my answear?,0,1,1
"Hi everyone!!_x0007__x0007_My name is <nameRedac_<anon_screen_name_redacted>> and I am a Ph.D student at University of São Paulo, in Brazil. That´s my first time in online courses in a foreign language. Good lucky for us!",1,0,1
"Hello everyone!_x0007__x0007_My name is Flávio <nameRedac_<anon_screen_name_redacted>>, I am from Brazil, Mato Grosso state (part of amazonia). If someone wants to talk about the course in portuguese, trying to understand something that we can't learn, please let's work together!_x0007__x0007_Regards,",1,0,1
Greetings from Colombia!!!_x0007_Thanks newly for giving me the opportunity to be your daily electronic student. I have yet now thousands of blank sheets of paper and many ideas to develop. I have the strong needed for writting a five hundred page scientific paper._x0007_Hi to everyone around the world! We shall write an essay. Can we select the writing Subject for both essays? Can for instance speak about sexual violence? or about fitotherapy? or about the footballists performance around the world?.. Or we need to wait the teacher proposal?,1,1,1
This also happened to me! I am using my iPad which autocapitalised my answers so they didn't get accepted.,1,1,1
Hello Flávio! I am from Brazil to.,1,0,1
"Dear Prof <redacted>,_x0007_It is nice to be a student again in one of your courses. _x0007_There are no download links  to download the videos and I cannot view them during travel and during lunch time and work.Also many students have spotty intenet connections and so we would be grateful if we can have the download links so that we can study offline when we do not have internet access(like in your statistics course) and also the ppt/pdf's._x0007_Thanks_x0007__x0007_<nameRedac_<anon_screen_name_redacted>>",1,1,1
"Please post pdf of slides, it would help a lot._x0007__x0007_Thanks",1,1,1
Greetings everyone._x0007__x0007_I am <nameRedac_<anon_screen_name_redacted>> <nameRedac_<anon_screen_name_redacted>> from Pakistan._x0007__x0007_Looking forward to the coming weeks. Best of luck everyone!,1,0,1
"I guess that's not really an issue. Everybdy appreciates a well-written manuscript and good reads are definitely out there - i.e. they were accepted and published. _x0007__x0007_Of course, it is wrong to oversimplify. But that's als not one of the goals of this workshop, right?_x0007__x0007_cheers from Berlin",1,1,1
"If someone would agree, they could download the youtube videos and maybe convert them to mp4 and post on dropbox. Make a folder and put all the videos in that one folder and post the link here for everyone with this problem._x0007__x0007_I am sorry I cannot be the one to do this because I am a student at the uni and I do not plan on completing this course. I only will browse a few topics as I do not have sufficient time to give to this course. _x0007__x0007_But if someone will download free version of Real Player or You Tube downloader, it is very simple to download and convert if necessary. Then, as I said, put on dropbox and share the link._x0007__x0007_Peace",1,1,1
"I entered \justification\"" without capitalizing the first letter, and it was accepted. So you're right about the problem source.""",1,0,1
"For the first quiz, I share the same worry as <redacted> above. I identified justification in both attempts which I think is correct but I was marked wrong. Please could this be rectified. Thanks for understanding.",0,1,1
"Não entendi sua pergunta, Fabiene. O que exatamente você quer traduzir? Legendas? Áudio?",0,0,1
I agree! Spotty Internet is just my case!,1,0,1
Greetings from Ukraine!,1,0,1
Is there just one question for the first quiz? and then? I did it and still show up as something I have to do....any help?,0,1,1
"I'm all for cutting clutter but, like a surgeon, you should be careful not to accidentally cut out anything vital. When you have mastery over your topic you can decide whether \fitness\"" can really substitute for muscular and cardiovascular health -- but if not, be cautious._x0007__x0007_The example that replaces \""based on the assumption that\"" with \""if\"" strikes me as potentially problematic. \""If\"" implies that a normal distribution of intelligence is just one of many possible distributions of intelligence, when that may not be what the writer intended to convey. The phrasing, \""based on the assumption\"" implies that while the statement is contingent on the truth of the assumption, the assumption itself is common. If I were to re-write the sentence, I would replace \""if\"" with \""assuming\""._x0007__x0007_This is not to say that you shouldn't cut as much clutter as possible, only that if you're not sure whether or not you're cutting out something essential, you should double check.""",1,0,0
"that's my problem, just one question and then? still show up as something I have to do....",1,0,1
"Respected Online Courses Support Staff,_x0007_I have joined the Writing in Sciences Course, but after completing the initial survey and assessment, I found that the video lectures are to be opened in YouTube which is blocked in Pakistan. Kindly guide me so that i may be able to complete the course without opening you tube.",1,1,1
"Too wordy in my opinion. I like besides, it's more concise.",1,0,0
could the lectures be downloaded ? internet is slow here,1,1,1
I had the same issue.,1,0,1
"It may sound stupid, but I misunderstood the punctuation aware y I lost 1 point. It could be even silly (saying this for one tiny point) but I fight for distinction.",1,0,1
:-),1,0,1
Try without the capital letters.,1,0,1
"I am pretty sure that \neonatal\"" refers to prematurely born babies, a subset of \""newborns\"".  I would think long and hard about generalizing from neonates to newborns generally.  They are different \""populations\"".""",1,0,0
"Dear professor,_x0007__x0007_I registered my self into the course of SciWrite Writing in the Sciences, but unfortunately the webmail I used did not receive the confirmation mail you probably send to me. I had to registered my self using a new webmail, what should I do with the last registration?",1,1,1
"Practising is the British/Canadian spelling, but since this course is global, I doubt that it will be counted against you, especially when we can use the self-assessment in quizzes.  _x0007_   If you are writing a paper for a journal, the editors will let you know which version they prefer.  A journal of British origin will probably use practise and a journal of English origin will use practice. Similar word problems are behavior and behaviour._x0007_   Practice can be a verb or a noun.  Examples: verb - She will practice her violin. noun - She just started her medical practice._x0007_   Let me know if I'm incorrect about any of this._x0007__x0007_<nameRedac_<anon_screen_name_redacted>>",1,0,0
"In a similar vein, I have noticed that British English uses the phrase, \go to hospital\"" and American English uses the phrase, \""go to the hospital\""._x0007_Interesting!""",1,0,1
I'm 52!  Yay for us up-and-coming senior citizens!,1,0,1
"Hi everyone,_x0007__x0007_We have adjusted the single word responses to accept capitalization and we have recalculated scores for those questions. If you were marked incorrect due to capitalizing the correct word, you should now have credit for that question. We will make sure going forward that single word responses allow for capitalization._x0007__x0007_~<nameRedac_<anon_screen_name_redacted>> (OpenEdX Team)",1,0,1
"Hi everyone,_x0007__x0007_We have adjusted the single word responses to accept capitalization and we have recalculated scores for those questions. If you were marked incorrect due to capitalizing the correct word, you should now have credit for that question. We will make sure going forward that single word responses allow for capitalization._x0007__x0007_~<nameRedac_<anon_screen_name_redacted>> (OpenEdX Team)",1,0,1
"Hi everyone,_x0007__x0007_We have adjusted the single word responses to accept capitalization and we have recalculated scores for those questions. If you were marked incorrect due to capitalizing the correct word, you should now have credit for that question. We will make sure going forward that single word responses allow for capitalization._x0007__x0007_~<nameRedac_<anon_screen_name_redacted>> (OpenEdX Team)",1,0,1
"translate.google.com é muito eficiente, porem não muito eficaz.",1,0,1
"Currently only the subtitles and videos are available for download. This being said, for the videos in which the instructor is referring to text examples that she is editing, we have made these text examples available if you would like to edit yourself as you follow along. If anything changes as far as being able to download the lecture material, we will let students know. Thank you for your participation._x0007__x0007_-<nameRedac_<anon_screen_name_redacted>> _x0007_OpenEdx Team",1,0,1
I was tought to use a passive voice in academic writting as well!,1,0,1
"Hello Viktoriya,_x0007__x0007_nice to meet you. I hope we'll all have fun completing this course :-) _x0007__x0007_best regards_x0007__x0007_<nameRedac_<anon_screen_name_redacted>>",1,0,1
"Greetings from Kerala,India",1,0,1
Hello Viktoria! Nice to meet you here. I am from Ukraine too (Kyiv). Would be glad to talk to you again:)),1,0,1
Hi everyone! I'm <nameRedac_<anon_screen_name_redacted>> from Poland ;) This is my first course and have a great hope to learn something and will be trying to cooperate will you. _x0007_Greetings ;),1,0,1
Hello from Russia!!! :)_x0007_<nameRedac_<anon_screen_name_redacted>>.,1,0,1
"Hello Everyone,_x0007_My name is <nameRedac_<anon_screen_name_redacted>> and I am a Ph.D student studying at the Washington State University in US. This is also my first time on OpenEdx course and I'm looking forward to the course and the interactions with all of you.",1,0,1
Greetings from Spain! Hoping to improve my writting skills with this course._x0007_<nameRedac_<anon_screen_name_redacted>>,1,0,1
Greetings from Spain! Hoping to improve my writting skills with this course. <nameRedac_<anon_screen_name_redacted>>,1,0,1
and from Rzeszow :),1,0,1
"Hello from Chicago, USA",1,0,1
"You have missed S at the end, innovationS",1,0,1
<nameRedac_<anon_screen_name_redacted>>.,1,0,1
Hello! I am <nameRedac_<anon_screen_name_redacted>> from Kenya.,1,0,1
"In first phrase, propossed solution is \Anti-inflammatory drugs may protect against Alzheimer's Disease.\"" _x0007__x0007_Is it possible to cut even more keeping only \""Alzheimer\""?_x0007__x0007_i.e. \""Anti-inflammatory drugs may protect against Alzheimer.\""_x0007__x0007_thanks""",1,1,1
I'm having the same problem.,1,0,1
Hello Ivan!!! Nice to meet you here. Best wishes from Ukraine!!!!!!!,1,0,1
"The method used to introduce the principles of effective writing,shows it is going to be an interesting course",1,0,1
"This is more a question of nomenclature than grammar, though at the very least, you should use the possessive. That is, write \Alzheimer's\"", not \""Alzheimer\"". I imagine most people would understand what you mean. For example, people often just say \""Huntington's\"" or \""Parkinson's.\"" They are referred to in the possessive to acknowledge their discoverer. However I think adding the \""disease\"" part is conventional and appropriate unless you find yourself needing to refer to it frequently in a paper targeted at a specialized audience.""",1,0,0
"Hi jmmora,_x0007__x0007_on the one hand you're right. Alois Alzheimer only described one disease so it is unlikely that omitting \disease\"" will lead to any confusion with another condition._x0007__x0007_On the other hand \""Alzheimer's Disease\"" is a proper noun and it would be correct not to change this? _x0007__x0007_Has anyone else have any thoughts on this?_x0007__x0007_best regards,_x0007__x0007_<nameRedac_<anon_screen_name_redacted>>""",1,0,1
I'm with you on this one! I had a bit of a problem with this one myself.,1,0,1
Hello from Greece! :),1,0,1
"Hi,_x0007__x0007_I was wondering if the \to treat\"" could be dropped as it would be obvious to most readers that the sentence refers to the treatment of such injuries. _x0007__x0007_\""Brain and spinal chord injuries are among the most devastating and expensive.\""_x0007__x0007_Or is that taking things just a bit too far?_x0007__x0007_best regards,_x0007__x0007_<nameRedac_<anon_screen_name_redacted>>""",1,1,1
"Hi there, _x0007__x0007_I think the 'problem score' can also be called the 'quiz score', and the parts that say 'No problem score in this section' are just saying there is no quiz in this section so there is no score to give. Is that clear enough?_x0007__x0007_Regards,_x0007__x0007_<nameRedac_<anon_screen_name_redacted>>",1,0,1
Hello from Hungary!,1,0,1
"Hi, I am from UC Davis, Sacramento, CA.",1,0,1
"I understand the \demo edit\"" exercises 1.7 and 2.7 are for us to try to edit the text and that_x0007_we cannot submit our work for correction. But are we going to have the edit performed by the teacher to compare_x0007_with our own?_x0007__x0007_Thanks""",1,1,1
"Hi guys, _x0007__x0007_My name is <nameRedac_<anon_screen_name_redacted>> and I come from Northern Ireland, UK. I have a BSc and MSc in Biomedical Sciences but I'm hoping to gain a few new skills, because it never hurts to learn new things. Hope you all find the course enjoyable, it's definitely off to a great start._x0007__x0007_Regards,_x0007__x0007_<nameRedac_<anon_screen_name_redacted>>",1,0,1
Hi Kristin and everyone! I see I am going to enjoy this course! _x0007_Cheers_x0007_--<nameRedac_<anon_screen_name_redacted>>--,1,0,1
"Hey, this is <nameRedac_<anon_screen_name_redacted>>. I'm in Scotland but originally from Germany. First course for me as well, even if I'm at University here in Scotland aiming for a Science Degree so I really welcome this course. Greetings out to everyone. :-)",1,0,1
I´m from Colombia too! :),1,0,1
"I have the same trouble. It takes me hours to painfully write a few lines, and most of the time I end up by finding them awful and suppressing the whole paragraph.",1,1,1
...and from Skierniewice ^^.,1,0,1
"I think as we write the scientific text, we have to use nomenclature terms. We cannot cut everything to make our text looking like slang. It seems to me that written atrticle differs from spoken lecture or discussing and even our teacher sais that everything should be clear in mind and on paper and no need to cut everything.",1,0,1
"So, which English do we use in this course? Thank you for the tips.",1,1,1
"I am new to this, please forgive me if I make a mess. I wasn't sure of how I could ask this question so I just thought of leaving a sort of comment. Do we get to have conference lectures or do we just follow the courseware and do assignments? I ask this because am wondering if this is just an open course where one does everything at one's best convenience.",1,1,1
Hi. <nameRedac_<anon_screen_name_redacted>> from Australia.,1,0,1
Hello from France :),1,0,1
"I agree. In my opinion there are several instances where precision is lost in the \cutting clutter\"" examples._x0007__x0007_I think at this stage it is the getting to grips with the general concept that is important.""",1,0,0
"Hi everyone, a graduate student from Chile. Very interested on this course, I'm also looking for some help editing some manuscripts going into new scientific article. The thing that kept me thinking in this video is the advice of \having your own voice\"", I think there is the only way to earn autonomy in scientific writing._x0007__x0007_Best regards""",1,0,1
Hello from Brazil! I hope we enjoy the course._x0007_<nameRedac_<anon_screen_name_redacted>>.,1,0,1
"Hi, <nameRedac_<anon_screen_name_redacted>> here from the Open edX engineering team here at Stanford.  I wanted to make you aware of an upcoming feature in the forums (ie, here).  New this quarter, if you opt in, you can receive a daily email summary of forum activity on the threads that are interesting to you.  _x0007__x0007_Three things to know about this feature._x0007__x0007_ 1. It's not live yet, we'll be turning it on in an install later this week._x0007__x0007_ 2. You should get ready by opting into the feature on the forum \home\"" page._x0007_![how to opt in][1]_x0007__x0007_ 3. As you post or view threads you can start indiciating what threads you want to follow.  By default a thread that you post to is automatically followed.  Screen shots of this are below._x0007__x0007_As always we'd love to hear your feedback on this feature as it rolls out.  I'll reply to this post when it goes live.  Thanks!_x0007__x0007_- <nameRedac_<anon_screen_name_redacted>> _x0007__x0007__x0007_![following a thread][2]  ![enter image description here][3]_x0007__x0007__x0007_  [1]: https://edx-west-uploads.s3.amazonaws.com/1<phoneRedac><phoneRedac>13.png_x0007_  [2]: https://edx-west-uploads.s3.amazonaws.com/1<phoneRedac><phoneRedac>22.png_x0007_  [3]: https://edx-west-uploads.s3.amazonaws.com/1<phoneRedac><phoneRedac>02.png""",1,0,1
Whatever you suggest I am going to do. I took a creative writing class. I took the suggestion from my instructor and other students. Huge help.,1,0,1
"I answered the question and as you have 2 chances, you have to use the final submit option, I think.",1,0,1
"I agree. I generally refer to Alzheimer's, rather than Alzheimer's Disease. The word \disease\"" implies something contagious. Just saying or writing \""Alzheimer's\"" implies an noncontagious condition.""",1,0,0
I have seen this because of word count. Reduces the number of words used.,1,0,1
"I wano to download the videos because my internet is also slow, but when I compared both videos don't appear the same, the video that I downloaded doesn't appear the slides. What is happen? is my laptop? I have a mini lap...",0,1,1
"Hi... I'm <nameRedac_<anon_screen_name_redacted>>, from Colombia... this is my first online course...",1,0,1
Can someone help me? Download subtitles's link does not work,0,1,1
Me neither. I cant see the answer.,1,0,1
Hearing all this is so relieving....,1,0,1
"Hello! I am <nameRedac_<anon_screen_name_redacted>>, from Vancouver, BC.",1,0,1
"I will like to recommend a guide on how to handle the quiz... I missed the first quiz, because i saved instead of submit.",1,1,1
"Hello everyone,_x0007__x0007_My name is <nameRedac_<anon_screen_name_redacted>>, I am originally from San Diego, Ca. I have been working and living in several countries over the last 19 years. I am hoping that this course will help me with my science writing skills, that I have forgotten over the years. I wish everyone the best in the coming weeks.",1,0,1
"Hi everyone!_x0007__x0007_I had a problem in Quiz 1.5. The question was about eliminate \There are\"". I wrote the sentece exactly equal to the correct answer in my first try, but its was computed wrong..._x0007__x0007_\""Several mechanisms could explain the findings\""_x0007__x0007_In my second try I put againt the word \""that\""_x0007__x0007_\""Several mechanisms that could explain the findings\""_x0007__x0007_Best Regards,_x0007__x0007_<nameRedac_<anon_screen_name_redacted>> <nameRedac_<anon_screen_name_redacted>>""",0,1,1
"As I am from Spain, question 1.7 is... a puzzle?",1,1,1
Hola desde México.,1,0,1
"Hi, _x0007_In \muscular and cardio-respiratory performance\"" you can found components leading to better general understanding  than fitness. Especially, in my opinion, if the text is for lay people. What is the sense under the word fitness for general people?""",1,1,1
Hi I am <nameRedac_<anon_screen_name_redacted>> from Ghana,1,0,1
Hi_x0007__x0007_It is <nameRedac_<anon_screen_name_redacted>> from UK. I wish all of you a very enjoyable experience!,1,0,1
"I cannot believe that the course has just started and the answers have been available here! Could you, please, next time ask your question without saying what the answer is. I think that will be great for other students who want to enjoy the course. Thank you!",0,1,1
"Hi guys,_x0007__x0007_I am <nameRedac_<anon_screen_name_redacted>> <nameRedac_<anon_screen_name_redacted>> originally from Ecuador. I recently moved to the States to study for my master's degree. Hope to learn a lot with your help. _x0007__x0007_Saludos/ Regards,",1,0,1
"For example, if you replace \muscular and cardio-respiratory performance\"" with \""fitness\"", it just feels too general and not specific to me. Perhaps it's clearer to the layman, but not to the peer researchers.""",1,0,0
...and from UK ;P,1,0,1
Hi Vira! It is nice to meet you here too! What city are you from? Are you ready for some hard work in here? :),1,0,1
"Faiza, install Hotspot shield. I'm from Pakistan too and here people have installed hotspot shield on their pc and even smart phones to view Youtube",1,0,1
"Hi fellow standforders, I wanna know is there any introduction video on how to go around this MOOC format of standford and eDx are quite dull and not so user friendly when you compare them with other MOOC platforms.",1,1,1
"I also can't get it to show an answer. To my mind, without or absent seemed right answers but obviously these aren't 5 letters. Consulting a thesaurus, minus is a 5 letter word that fits, but I would never use minus in this way.",1,0,1
"I'm not sure if I need to submit the homework in some form to get credit, or if just by getting a tick I've gotten credit for each right answer and it's recorded somehow. Anyone else not able to hit the next button after they answer all the questions?",0,1,1
I've also seen the second image you've shared. It is really funny and probably more true than we'd like to admit!,1,0,1
The video is posted on Youtube.,1,0,1
How about change to this:_x0007__x0007_Brain and spinal cord injury are the most devastating and expensive injuries to treat.,1,1,1
"Hello everyone,_x0007_My name is <nameRedac_<anon_screen_name_redacted>>. I am a student of MSc in Medicine, at University of Sydney. I have joined this course to improve my writing skills.",1,0,1
"Hi, I'm Jéssica from Brazil. It's very good to have the opportunity to attend this course. Hope to learn a lot and to contribute with other students :)",1,0,1
"hello!_x0007_My name is <nameRedac_<anon_screen_name_redacted>>, I am  a physiotherapist from Colombia, I am glad to share this space with all of you, I would like to learn about scientific writing for my job and for study. I hope we can help each others and learn a lot... :D",1,0,1
"Hello everyone,_x0007__x0007_My name is <nameRedac_<anon_screen_name_redacted>>. I'm from India but living in Hong Kong.",0,0,1
I'm <nameRedac_<anon_screen_name_redacted>>.  I'm from Chicago and I work as a chemist in the pharmaceutical industry.  I'm very interested in improving my writing skills and I look forward to getting to know and work with everyone here.,1,0,1
Thanks.  That was my question too.,1,0,1
I just can't download the subtitles and mistake appears as follows: This XML file does not appear to have any style information associated with it.How could i solve this problem?,0,1,1
Cool. I think you just pointed out how important context is.,1,0,1
"Greetings from Brazil, Viktoriya._x0007_Best wishes,_x0007__x0007_Rogério",1,0,1
This lecture definitely made me realize all the mistakes I make with writing.  I was trained wrong in undergrad.,1,0,1
"Ok. I found it. At the bottom of the page is an arrow to advance to the next step. This arrow will take you to the quiz. Then be sure to click submit and subsequent to that, click \final submit.\""""",1,0,1
"Hi Alwang, Databoy,_x0007__x0007_Great point, which i really understand.  I think the goal in this course is to learn us how to substitute certain phrase-fragments with shorter synonyms and how to find the essence in a text. Later on, one needs to find kind of a golden rule for articles to submit for publication._x0007__x0007_Best from Athens, Greece,_x0007__x0007_-Tia",1,0,1
"Hi, Racheal. I'm <nameRedac_<anon_screen_name_redacted>>, live in Boise, and manage a Network Operations Center (NOC) for a local IT company. I'm happy to be taking this course and hope to improve my writing as well.",1,0,1
"Example 3 of unit 1 (1.4):_x0007__x0007_\ The experiment provides the first proof **of** principle **of** laser driven particle acceleration in a structure loaded vacuum\""_x0007__x0007_I was thinking if \""of\"" is repeated. Instead would it be fine to re-write this as following_x0007__x0007_\"" The experiment provides the first proof of principle **for** the laser driven particle acceleration in a structure loaded vacuum\""""",1,0,1
"Thank you s so much Sef for the valuable information!_x0007__x0007_Best from Athens, Greece,_x0007__x0007_-Tia",1,0,1
"As far as I know, according to \how to write a scientific paper\"" books, in a manuscript the data have to be presented in the past tense. The suggested paragraph in the video was written using the present tense, however it rather showed explanations or conclusions. My point here is when should we use the present tense and when should we use the past tense?_x0007_As for the passive voice, I use it when describing the experiments that have been done or were done, and when providing an overall picture of the experiments. Is this a wrong way to do it. I'm confused here!_x0007_I'd really appreciate a clarification to these points to correct my writing habits if I'm wrong._x0007_Thanks!""",1,1,1
Same. I feel like by ending the sentence on “expensive” you are making the reader come to an abrupt halt in the middle of the sentence.,1,1,1
"\assuming\"",  _x0007_Great!! Thanks Dave!_x0007__x0007_Best,_x0007__x0007_-Tia""",1,0,0
Glad to hear it!,1,0,1
Very nice!,1,0,1
"Hi all, _x0007__x0007_I am <nameRedac_<anon_screen_name_redacted>> from Taiwan but studying in Australia. I believe this course will help me a lot with my thesis writing. :)",1,0,1
"I'm going to try to convince you that passive voice is not the standard! In fact, in their author guidelines, many top journals now explicitly ask authors to use the active voice.",1,0,0
